Animal_ID,Epoch,Sleep_State,Tot_Mov,AVG_Amp,STDEV_Amp,AVG_Freq,STDEV_Freq,
AAL,2910,WAKE,105,6.370006636,5.730104122,13.6787166,6.865561085,
AAL,2920,WAKE,126,8.271858587,4.693020192,14.19846495,4.011172117,
AAL,2930,WAKE,138,7.419017247,4.731317034,14.15713518,2.597576706,
AAL,2940,WAKE,132,8.006098559,3.259508713,13.88688886,2.941323427,
AAL,2950,WAKE,147,5.797836103,3.777413011,15.34596149,3.510350701,
AAL,2960,WAKE,123,6.466687312,5.674088242,13.8947332,4.059170052,
AAL,2970,WAKE,123,3.598064867,5.125748034,13.59098179,3.953111575,
AAL,2980,WAKE,144,4.342474639,3.710643273,15.71131382,3.838574323,
AAL,2990,WAKE,144,5.719624122,3.983446376,14.90686267,2.953518421,
AAL,3000,WAKE,153,4.705436109,4.590112936,16.97691262,5.676367907,
AAL,3010,WAKE,135,6.228588705,4.204622966,14.44252964,4.717116862,
AAL,3020,WAKE,129,4.229944397,2.25837323,13.68964651,3.134374839,
AAL,3030,WAKE,135,6.022916976,4.431819645,14.18999689,3.11134006,
AAL,3040,WAKE,132,3.933217978,2.652332999,13.71393589,2.769111262,
AAL,3050,WAKE,141,2.963441619,2.208096837,15.2063411,4.788091,
AAL,3060,WAKE,141,2.865676502,2.717116138,14.88552992,3.73330135,
AAL,3070,WAKE,147,2.237567735,1.753359869,15.26368364,3.256754745,
AAL,3080,WAKE,153,2.432294136,2.067058644,16.08213485,3.135444948,
AAL,3090,WAKE,153,3.421519814,2.388392482,15.6594412,3.261244388,
AAL,3100,WAKE,141,3.599990063,1.545737561,14.62475636,2.177280639,
AAL,3110,WAKE,144,3.880863262,1.488670054,14.59655449,2.278705447,
AAL,3120,WAKE,144,3.576497661,1.53195875,14.86456424,2.409340184,
AAL,3130,WAKE,153,4.178268956,3.847226936,15.99554013,3.926151706,
AAL,3140,WAKE,129,2.560766593,2.324737284,14.59842848,7.428091359,
AAL,3150,WAKE,129,3.500516382,2.527964908,13.82428096,3.88216901,
AAL,3160,WAKE,138,3.977136553,2.257095531,14.0796141,1.781861728,
AAL,3170,WAKE,153,3.46933896,2.868185418,16.28878132,3.709978188,
AAL,3180,WAKE,129,8.579777965,5.228009676,13.85105005,3.268710543,
AAL,3190,WAKE,117,4.641416249,5.567884422,13.84812146,5.392855073,
AAL,3200,WAKE,123,6.791335965,5.690756457,13.55827181,4.407090494,
AAL,3210,WAKE,141,6.347758862,4.999923045,14.94471342,3.852407337,
AAL,3220,WAKE,147,5.228875713,3.024282044,15.47019042,4.329183135,
